name,sn1_n,sn1_b_ucs,sn1_d_cholesky_uconv,sn1_d_cholesky_ucs,sn1_iterNorm_uconv,sn1_iterNorm_ucs,sn1_zca_G16_uconv,sn1_zca_G32_uconv,sn1_zca_G16_ucs,sn1_zca_G32_ucs,sn1_b_uconv(41),sn1_cholesky_uconv_G64,sn1_cholesky_ucs_G64,sn1_zca_uconv_G64,sn1_zca_ucs_G64,sn1_cholesky_ucs_G128,sn1_d_cholesky_wm_uconv,sn1_d_cholesky_wm_ucs,sn1_iterNorm_wm_uconv,sn1_iterNorm_wm_ucs,sn1_zca_wm_uconv_G16,sn1_zca_wm_uconv_G32,sn1_zca_wm_ucs_G16,sn1_zca_wm_ucs_G32
"1e-3,A",57.45,31.5,42.82,30.44,35.91,27.73,46.31,52.76,41.37,52.39,,50.16,29.16,52.4,29.9,,51.05,33.87,40.22,30.48,53.0,48.95,98.15,49.14
"1e-4,A",40.12,36.03,46.65,33.73,32.76,33.64,34.56,30.87,35.6,40.06,,81.25,66.5,75.81,32.28,,59.51,48.27,34.02,32.89,32.97,57.36,35.3,32.26
"2e-4,A",33.39,29.1,28.62,31.53,27.68,27.44,26.58,25.8,29.7,30.58,,90.62,28.84,27.02,32.45,,29.53,32.96,31.59,29.18,28.02,28.85,28.46,30.94
"1e-3,B",31.04,28.91,24.44,30.11,30.74,27.98,31.41,29.41,27.21,27.49,,29.11,27.61,25.79,26.8,,26.55,32.02,33.06,30.5,27.77,28.9,27.22,32.9
"1e-4,B",38.5,36.51,30.06,37.03,33.19,39.7,33.8,32.11,35.6,35.21,,32.17,35.05,32.33,34.55,,32.65,36.83,31.05,48.27,32.86,31.66,34.19,34.41
"2e-4,B",38.65,33.11,26.03,34.94,28.93,29.54,28.65,30.11,32.26,31.07,,27.8,33.26,28.64,31.16,,27.75,37.4,27.89,32.67,28.68,30.24,32.48,30.56
"1e-3,C",31.33,27.89,24.76,32.42,24.68,29.56,27.17,28.89,27.3,28.81,,26.31,30.28,26.67,29.24,,25.51,34.57,27.23,29.09,27.74,26.41,30.2,28.54
"1e-4,C",35.08,34.59,30.3,42.24,32.67,32.24,32.63,31.59,32.19,34.24,,31.25,33.37,31.22,33.91,,30.74,40.55,31.74,32.15,32.4,30.69,37.4,33.37
"2e-4,C",31.79,30.44,26.32,35.56,28.71,30.07,29.2,28.67,30.77,31.05,,28.23,33.32,27.56,32.23,,26.98,39.6,28.56,28.63,28.23,29.18,29.49,30.13
"1e-3,D",132.8,45.66,167.8,124.1,56.03,41.23,93.79,177.1,44.59,42.49,,191.0,165.1,184.5,189.5,,188.3,142.1,52.39,33.81,196.2,210.9,45.3,38.79
"1e-4,D",39.09,36.65,65.94,40.42,32.97,35.49,35.18,40.64,34.91,35.95,,90.67,34.69,39.06,33.29,,105.9,43.63,40.9,36.19,34.02,42.55,36.2,35.13
"2e-4,D",32.61,31.5,117.0,36.73,34.09,29.43,34.94,58.23,30.51,31.3,,276.1,40.41,54.04,30.72,,126.1,37.23,30.97,31.83,44.26,49.93,38.79,30.99
"1e-3,E",38.12,52.26,126.0,43.34,51.97,40.44,40.25,37.59,37.35,42.54,,101.7,48.61,44.07,42.57,,113.6,47.87,48.4,46.32,210.5,117.7,36.96,39.93
"1e-4,E",49.8,49.45,38.34,52.6,46.43,51.66,41.81,40.56,47.25,39.37,,41.22,46.99,39.76,45.38,,42.19,48.64,42.12,47.85,38.29,38.99,40.92,43.6
"2e-4,E",42.97,41.22,38.03,45.51,42.38,39.79,38.99,40.85,42.41,37.32,,38.26,41.43,36.65,39.57,,39.87,46.93,40.31,39.96,36.34,37.0,38.36,38.62

