model:generator arch:dcgan blocks:[256 256 256],,,,,
norm,color,device,m,decomposition,speed(ms)
n,n,gpu,-,-,12.1841073
b,uconv,gpu,-,-,15.07617712
d,uconv,cpu,0,decomposition_cholesky,20.59909821
d,uconv,cpu,0,decomposition_iter_norm,19.72863674
d,uconv,cpu,0,decomposition_zca,40.74506283
d,uconv,cpu,16,cholesky,20.97424507
d,uconv,cpu,16,iter_norm,20.16755819
d,uconv,cpu,16,zca,20.67742109
d,uconv,cpu,32,cholesky,20.66267729
d,uconv,cpu,32,iter_norm,19.78039503
d,uconv,cpu,32,zca,20.46133757
d,uconv,cpu,64,cholesky,20.13350248
d,uconv,cpu,64,iter_norm,19.58525181
d,uconv,cpu,64,zca,21.82689667
d,uconv,gpu,0,cholesky,22.47592688
d,uconv,gpu,0,iter_norm,19.99313831
d,uconv,gpu,0,zca,472.4570704
d,uconv,gpu,16,cholesky,23.27282906
d,uconv,gpu,16,iter_norm,20.21152973
d,uconv,gpu,16,zca,489.2925167
d,uconv,gpu,32,cholesky,22.34174252
d,uconv,gpu,32,iter_norm,19.93209839
d,uconv,gpu,32,zca,483.2666159
d,uconv,gpu,64,cholesky,21.92315817
d,uconv,gpu,64,iter_norm,19.94685411
d,uconv,gpu,64,zca,489.2747211
b,ucs,gpu,-,-,14.46629047
d,ucs,cpu,0,cholesky,20.42543411
d,ucs,cpu,0,iter_norm,19.12564278
d,ucs,cpu,0,zca,41.87231779
d,ucs,cpu,16,cholesky,20.63120604
d,ucs,cpu,16,iter_norm,19.57535744
d,ucs,cpu,16,zca,20.42063951
d,ucs,cpu,32,cholesky,20.20916224
d,ucs,cpu,32,iter_norm,19.21588182
d,ucs,cpu,32,zca,20.13763666
d,ucs,cpu,64,cholesky,20.15288353
d,ucs,cpu,64,iter_norm,19.26015854
d,ucs,cpu,64,zca,22.19334364
d,ucs,gpu,0,cholesky,21.96695805
d,ucs,gpu,0,iter_norm,19.51318264
d,ucs,gpu,0,zca,478.6164737
d,ucs,gpu,16,cholesky,23.03350449
d,ucs,gpu,16,iter_norm,19.84974861
d,ucs,gpu,16,zca,474.7792935
d,ucs,gpu,32,cholesky,22.16201305
d,ucs,gpu,32,iter_norm,19.67003345
d,ucs,gpu,32,zca,485.3120518
d,ucs,gpu,64,cholesky,21.99105263
d,ucs,gpu,64,iter_norm,19.67699289
d,ucs,gpu,64,zca,476.4106393
